timestamp,person,bicycle,car,motorcycle,bus,truck,total_vehicles
2017-09-10 21:58:00,14,0,233,0,0,0,247
2017-09-10 21:59:00,17,0,178,0,1,0,196
2017-09-10 22:00:00,18,0,122,0,0,0,140
2017-09-10 22:01:00,11,0,277,0,0,0,288
2017-09-10 22:02:00,22,0,158,0,0,0,180
2017-09-10 22:03:00,20,0,78,0,0,0,98
2017-09-10 22:04:00,13,0,120,0,2,0,135
2017-09-10 22:05:00,5,0,251,0,0,0,256
2017-09-10 22:06:00,10,0,216,0,0,0,226
2017-09-10 22:07:00,18,0,253,0,0,0,271
2017-09-10 22:08:00,27,0,105,0,0,0,132
2017-09-10 22:09:00,12,0,146,0,0,0,158
2017-09-10 22:10:00,7,0,83,0,0,0,90
2017-09-10 22:11:00,15,0,93,0,0,0,108
2017-09-10 22:12:00,17,0,144,0,0,0,161
2017-09-10 22:13:00,15,0,163,0,0,0,178
2017-09-10 22:14:00,2,0,173,0,0,0,175
2017-09-10 22:15:00,7,0,112,0,1,0,120
2017-09-10 22:16:00,47,0,225,0,0,0,272
2017-09-10 22:17:00,7,0,214,0,0,0,221
2017-09-10 22:18:00,19,0,196,0,0,0,215
2017-09-10 22:19:00,11,0,368,0,0,0,379
2017-09-10 22:20:00,12,0,206,0,0,0,218
2017-09-10 22:21:00,9,0,298,0,0,0,307
2017-09-10 22:22:00,3,0,190,0,1,0,194
2017-09-10 22:23:00,9,0,110,0,2,0,121
2017-09-10 22:24:00,2,0,124,0,0,0,126
2017-09-10 22:25:00,0,0,259,0,0,0,259
2017-09-10 22:26:00,4,0,135,1,0,0,140
2017-09-10 22:27:00,9,0,119,0,0,0,128
2017-09-10 22:28:00,11,0,109,0,0,0,120
2017-09-10 22:29:00,7,0,70,0,0,0,77
2017-09-10 22:30:00,7,0,40,0,0,0,47
2017-09-10 22:31:00,1,0,188,0,0,1,190
2017-09-10 22:32:00,10,0,132,0,0,0,142
2017-09-10 22:33:00,13,0,109,0,0,0,122
2017-09-10 22:34:00,5,0,161,0,1,1,168
2017-09-10 22:35:00,3,0,88,0,0,0,91
2017-09-10 22:36:00,4,0,100,0,0,0,104
2017-09-10 22:37:00,9,0,138,0,0,0,147
2017-09-10 22:38:00,1,0,385,0,0,0,386
2017-09-10 22:39:00,5,0,176,0,0,0,181
2017-09-10 22:40:00,5,0,152,0,0,2,159
2017-09-10 22:41:00,7,0,71,0,0,0,78
2017-09-10 22:42:00,5,0,110,0,0,0,115
2017-09-10 22:43:00,13,0,129,0,1,0,143
2017-09-10 22:44:00,8,0,169,0,0,0,177
2017-09-10 22:45:00,2,0,94,0,0,0,96
2017-09-10 22:46:00,6,0,36,0,0,0,42
2017-09-10 22:47:00,8,0,164,0,0,0,172
2017-09-10 22:48:00,5,0,116,0,0,0,121
2017-09-10 22:49:00,3,0,82,0,0,0,85
2017-09-10 22:50:00,4,0,68,0,1,0,73
2017-09-10 22:51:00,7,0,97,0,0,0,104
2017-09-10 22:52:00,3,0,83,0,0,0,86
2017-09-10 22:53:00,4,0,100,0,0,0,104
2017-09-10 22:54:00,3,0,87,0,0,1,91
2017-09-10 22:55:00,5,0,81,0,0,0,86
2017-09-10 22:56:00,4,0,98,0,0,21,123
2017-09-10 22:57:00,3,0,138,0,0,0,141
2017-09-10 22:58:00,42,0,115,0,0,0,157
2017-09-10 22:59:00,7,0,39,0,0,0,46
2017-09-10 23:00:00,4,0,39,0,0,0,43
2017-09-10 23:01:00,3,0,116,1,0,0,120
2017-09-10 23:02:00,4,0,65,0,7,0,76
2017-09-10 23:03:00,13,0,77,0,0,0,90
2017-09-10 23:04:00,2,0,131,0,0,0,133
2017-09-10 23:05:00,8,0,160,0,0,0,168
2017-09-10 23:06:00,3,0,76,0,0,0,79
2017-09-10 23:07:00,3,0,255,0,1,0,259
2017-09-10 23:08:00,1,0,38,0,0,0,39
2017-09-11 06:08:00,0,0,88,0,0,0,88
2017-09-11 06:09:00,11,0,144,0,0,0,155
2017-09-11 06:10:00,4,0,118,0,0,0,122
2017-09-11 06:11:00,9,0,57,0,1,1,68
2017-09-11 06:12:00,5,0,114,0,1,3,123
2017-09-11 06:13:00,4,0,157,0,0,0,161
2017-09-11 06:14:00,2,0,224,0,3,2,231
2017-09-11 06:15:00,1,0,228,0,1,0,230
2017-09-11 06:16:00,1,0,183,0,10,1,195
2017-09-11 06:17:00,4,0,162,0,2,1,169
2017-09-11 06:18:00,10,0,228,0,5,1,244
2017-09-11 06:19:00,5,0,196,0,1,1,203
2017-09-11 06:20:00,3,0,259,0,0,3,265
2017-09-11 06:21:00,18,0,57,0,0,0,75
2017-09-11 06:22:00,30,0,116,0,2,3,151
2017-09-11 06:23:00,18,0,133,0,0,3,154
2017-09-11 06:24:00,7,0,198,0,3,5,213
2017-09-11 06:25:00,15,0,164,0,0,2,181
2017-09-11 06:26:00,27,0,171,0,0,2,200
2017-09-11 06:27:00,35,0,139,0,0,4,178
2017-09-11 06:28:00,11,0,307,0,0,0,318
2017-09-11 06:29:00,10,0,291,0,5,7,313
2017-09-11 06:30:00,10,0,270,0,0,3,283
2017-09-11 06:31:00,7,0,170,0,0,7,184
2017-09-11 06:32:00,3,0,135,0,0,2,140
2017-09-11 06:33:00,0,0,98,0,1,3,102
2017-09-11 06:34:00,6,0,197,1,0,2,206
2017-09-11 06:35:00,1,0,430,1,1,2,435
2017-09-11 06:36:00,0,0,219,0,6,0,225
2017-09-11 06:37:00,0,0,197,0,11,8,216
2017-09-11 06:38:00,0,0,222,0,0,0,222
2017-09-11 06:39:00,3,0,397,0,0,0,400
2017-09-11 06:40:00,8,0,292,0,4,12,316
2017-09-11 06:41:00,1,0,259,0,5,6,271
2017-09-11 06:42:00,0,0,186,0,0,0,186
2017-09-11 06:43:00,0,0,328,0,5,1,334
2017-09-11 06:44:00,0,0,181,0,13,6,200
2017-09-11 06:45:00,0,0,263,0,6,0,269
2017-09-11 06:46:00,1,0,504,0,3,4,512
2017-09-11 06:47:00,0,0,307,0,0,2,309
2017-09-11 06:48:00,1,0,394,5,0,28,428
2017-09-11 06:49:00,1,0,278,0,0,5,284
2017-09-11 06:50:00,1,0,189,0,3,3,196
2017-09-11 06:51:00,0,0,518,0,0,36,554
2017-09-11 06:52:00,5,0,408,0,2,7,422
2017-09-11 06:53:00,4,0,293,0,0,1,298
2017-09-11 06:54:00,1,0,248,0,0,0,249
2017-09-11 06:55:00,0,0,297,0,1,1,299
2017-09-11 06:56:00,2,0,177,0,0,1,180
2017-09-11 06:57:00,2,0,441,0,0,7,450
2017-09-11 06:58:00,1,0,207,0,34,4,246
2017-09-11 06:59:00,0,0,237,0,16,19,272
2017-09-11 07:00:00,0,0,133,0,0,0,133
2017-09-11 07:01:00,0,0,270,0,8,8,286
2017-09-11 07:02:00,0,0,264,0,0,0,264
2017-09-11 07:03:00,1,0,438,0,3,2,444
2017-09-11 07:04:00,0,0,282,0,0,2,284
2017-09-11 07:05:00,0,0,291,0,5,5,301
2017-09-11 07:06:00,1,0,173,0,0,1,175
2017-09-11 07:07:00,8,0,271,0,0,2,281
